team,player_name,role,price,auction_year,source_file,price_in_inr,price_in_crore,player_name_clean,role_bucket,is_overseas,is_wicketkeeper,is_allrounder,unnamed_0,price_in,nationality,base_price,capped_uncapped,matched_player_name_clean,match_confidence,performance_season,player_name_clean_perf,matches_played,innings_batted,runs_scored,balls_faced,boundary_runs,fours,sixes,dismissals,dot_balls_batting,batting_strike_rate,batting_average,boundary_ball_pct,dot_ball_pct_batting,runs_per_innings,phase_balls_death,phase_balls_middle,phase_balls_other,phase_balls_powerplay,phase_runs_death,phase_runs_middle,phase_runs_other,phase_runs_powerplay,powerplay_strike_rate,middle_strike_rate,death_strike_rate,matches_played_bowl,innings_bowled,balls_bowled,legal_balls_bowled,runs_conceded,wickets,dot_balls_bowling,bowling_strike_rate,economy_rate,dot_ball_pct_bowling,phase_balls_death_bowl,phase_balls_middle_bowl,phase_balls_other_bowl,phase_balls_powerplay_bowl,phase_runs_death_bowl,phase_runs_middle_bowl,phase_runs_other_bowl,phase_runs_powerplay_bowl,phase_wickets_death,phase_wickets_middle,phase_wickets_other,phase_wickets_powerplay,powerplay_wickets,powerplay_economy,death_wickets,death_economy,experience_proxy,recent_runs_scored,recent_wickets,recent_batting_strike_rate,recent_economy_rate,prior_seasons_played,career_runs_before_auction,career_wickets_before_auction,career_matches_before_auction,three_year_runs_before_auction,three_year_wickets_before_auction,three_year_matches_before_auction,three_year_batting_sr_before_auction,three_year_economy_before_auction,career_best_runs_season_before_auction,career_best_wickets_season_before_auction,career_best_sr_season_before_auction,career_best_economy_season_before_auction,prior_500_run_seasons,prior_400_run_seasons,prior_20_wicket_seasons,prior_15_wicket_seasons,pedigree_batter_index,pedigree_bowler_index,target_log_price,player_name_clean_model,year_median_price_in_inr,year_mean_price_in_inr,year_total_spend_in_inr,year_players_sold,inflation_index,spend_index,is_mega_auction_proxy,role_year_median_price_in_inr,role_year_mean_price_in_inr,leadership_proxy,captaincy_proxy,title_winning_captain_proxy,indian_batter_premium_proxy,sena_overseas_premium_proxy,wicketkeeper_scarcity_proxy,death_bowler_premium_proxy,control_bowler_premium_proxy,left_arm_bowler_proxy,premium_bowler_quality_index,elite_indian_pacer_scarcity_proxy,previous_auction_price_in_inr,prior_auction_count,years_since_last_auction,career_peak_auction_price_in_inr,auction_history_mean_price_in_inr,marquee_player_proxy,predicted_log_price,predicted_price_in_inr,intrinsic_predicted_log_price,intrinsic_predicted_price_in_inr,selected_model,predicted_price_in_crore,intrinsic_predicted_price_in_crore,article_fair_price_in_inr,article_market_premium_in_inr,article_fair_price_in_crore,actual_price_in_crore,mispricing_in_inr,mispricing_pct,mispricing_label,article_mispricing_in_inr,article_mispricing_pct,article_mispricing_label,intrinsic_mispricing_in_inr,intrinsic_mispricing_pct,player_name_join,realized_matches_played,player_name_display,role_bucket_realized,matches_played_2025,runs_scored_2025,batting_strike_rate_2025,runs_per_innings_2025,wickets_2025,economy_rate_2025,bowling_strike_rate_2025,realized_value_index_2025,finish_rank_prev,finish_rank_current,finish_rank_delta,playoff_delta,captaincy_outcome_adjustment,realized_news_index,realized_percentile_within_role,realized_outcome_label,article_rating,realized_statline
Sunrisers Hyderabad,Ishan Kishan,,"11,25,00,000 ",2025.0,IPL_Auction_2025_Sold_Player.csv,112500000.0,11.25,ishan kishan,wicketkeeper,0,1,0,167.0,,Indian,"2,00,00,000 ",Capped,ishan kishan,1.0,2024.0,ishan kishan,14.0,14.0,320.0,215.0,236.0,35.0,16.0,14.0,87.0,148.8372093023256,22.857142857142858,23.72093023255814,40.46511627906977,22.857142857142858,5.0,51.0,38.0,121.0,6.0,64.0,24.0,226.0,186.77685950413223,125.49019607843135,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1308.0,,130.52115273992064,,8.0,6972.0,,85.0,3339.0,,39.0,131.47904647606026,,1548.0,,148.64864864864865,,6.0,6.0,0.0,0.0,0.90599603567889,0.3229930624380575,18.53846378849764,ishan kishan,15000000.0,35118131.86813187,6391500000.0,182,1.5,1.286936506612287,1,112500000.0,120857142.85714284,1,0,0,1,0,1,0,0,0,0.0,0,152500000.0,2,3.0,152500000.0,107250000.0,1,17.828460630156503,55309797.01851666,18.09752752776145,72386292.83489096,gradient_boosting,5.530979701851666,7.238629283489096,203699000.0,131312707.16510904,20.3699,11.25,-57190202.98148334,-0.5083573598354074,strongly_overvalued,91199000.0,0.8106577777777778,strongly_undervalued,-40113707.16510904,-0.3565662859120803,ishan kishan,13.0,Ishan Kishan,batter,13.0,354.0,152.58620689655174,27.23076923076923,0.0,24.0,,0.959425175832,,,,,0.0,0.959425175832,1.0,impact,hit,354 runs | 152.6 SR
Royal Challengers Bengaluru,Devdutt Padikkal,,"2,00,00,000 ",2025.0,IPL_Auction_2025_Sold_Player.csv,20000000.0,2.0,devdutt padikkal,batter,0,0,0,158.0,,Indian,"2,00,00,000 ",Capped,d padikkal,0.93,2024.0,d padikkal,7.0,7.0,38.0,53.0,12.0,3.0,0.0,7.0,29.0,71.69811320754717,5.428571428571429,5.660377358490567,54.71698113207547,5.428571428571429,0.0,17.0,4.0,32.0,0.0,11.0,0.0,27.0,84.375,64.70588235294117,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,955.5,,125.3144017308082,,4.0,4563.0,,57.0,3144.0,,42.0,124.72529921666435,,1419.0,,129.20792079207922,,4.0,4.0,0.0,0.0,0.866385860588041,0.3229930624380575,16.811242881518265,d padikkal,15000000.0,35118131.86813187,6391500000.0,182,1.5,1.286936506612287,1,20000000.0,38508771.92982456,0,0,0,1,0,0,0,0,0,0.0,0,77500000.0,2,3.0,77500000.0,39750000.0,1,17.70308843759455,48792560.82536012,15.842182195437436,7588785.046728971,gradient_boosting,4.879256082536012,0.7588785046728972,101427500.0,52634939.17463988,10.14275,2.0,28792560.82536012,1.439628041268006,strongly_undervalued,81427500.0,4.071375,strongly_undervalued,-12411214.953271028,-0.6205607476635514,d padikkal,10.0,Devdutt Padikkal,batter,10.0,247.0,150.609756097561,24.7,,,,0.6116843591693939,,,,,0.0,0.6116843591693939,0.6666666666666666,solid,mid,247 runs | 150.6 SR
Rajasthan Royals,Nitish Rana,,"4,20,00,000 ",2025.0,IPL_Auction_2025_Sold_Player.csv,42000000.0,4.2,nitish rana,batter,0,0,0,138.0,,Indian,"1,50,00,000 ",Capped,n rana,0.93,2024.0,n rana,2.0,2.0,42.0,34.0,26.0,5.0,1.0,2.0,14.0,123.52941176470588,21.0,17.647058823529413,41.17647058823529,21.0,0.0,17.0,0.0,17.0,0.0,27.0,0.0,15.0,88.23529411764706,158.8235294117647,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1161.0,4.5,140.84141256324563,9.96875,8.0,7782.0,30.0,99.0,3471.0,9.0,44.0,134.0831522719644,8.645833333333334,1239.0,12.0,145.35211267605635,3.0,7.0,7.0,0.0,0.0,0.9141146349520978,0.5114056821935911,17.553180200057167,n rana,15000000.0,35118131.86813187,6391500000.0,182,1.5,1.286936506612287,1,20000000.0,38508771.92982456,1,0,0,1,0,0,0,0,0,0.0,0,80000000.0,2,3.0,80000000.0,57000000.0,1,17.421890321618353,36832467.91539808,17.990137450286433,65015576.32398754,gradient_boosting,3.683246791539808,6.501557632398755,109330000.0,44314423.67601246,10.933,4.2,-5167532.084601916,-0.1230364782048075,moderately_overvalued,67330000.0,1.603095238095238,strongly_undervalued,23015576.323987544,0.5479899124758939,n rana,11.0,Nitish Rana,batter,11.0,217.0,161.94029850746267,19.727272727272727,0.0,9.0,,0.5364619779184795,,,,,0.0,0.5364619779184795,0.3333333333333333,below_expectation,flop,217 runs | 161.9 SR
Royal Challengers Bengaluru,Krunal Pandya,,"5,75,00,000 ",2025.0,IPL_Auction_2025_Sold_Player.csv,57500000.0,5.75,krunal pandya,batter,0,0,0,154.0,,Indian,"2,00,00,000 ",Capped,kh pandya,0.93,2024.0,kh pandya,12.0,11.0,133.0,105.0,62.0,8.0,5.0,4.0,33.0,126.66666666666666,33.25,12.38095238095238,31.428571428571427,12.090909090909092,47.0,51.0,0.0,7.0,70.0,59.0,0.0,4.0,57.14285714285714,115.68627450980394,148.93617021276594,12.0,12.0,205.0,198.0,255.0,6.0,55.0,33.0,7.727272727272727,27.77777777777778,18.0,126.0,0.0,54.0,29.0,150.0,0.0,76.0,0.0,6.0,0.0,0.0,0.0,8.444444444444445,0.0,9.666666666666666,8.0,556.5,28.5,118.5616624411445,7.187837931246351,8.0,4542.0,210.0,108.0,1542.0,72.0,39.0,117.48196850915012,7.407023533111602,729.0,36.0,189.6,6.768595041322314,6.0,7.0,5.0,8.0,0.7536009250082589,0.8889246778989098,17.867295523158884,kh pandya,15000000.0,35118131.86813187,6391500000.0,182,1.5,1.286936506612287,1,20000000.0,38508771.92982456,1,0,0,1,0,0,0,0,0,0.0,0,82500000.0,2,3.0,88000000.0,85250000.0,1,17.88000290322388,58235336.57209348,16.470900256441556,14230529.595015576,gradient_boosting,5.823533657209348,1.4230529595015575,122815000.0,64579663.42790652,12.2815,5.75,735336.5720934793,0.0127884621233648,fair,65315000.0,1.135913043478261,strongly_undervalued,-43269470.40498442,-0.7525125287823378,kh pandya,15.0,Krunal Pandya,bowler,15.0,109.0,126.74418604651164,15.571428571428571,17.0,8.23913043478261,16.235294117647058,1.3748882773598345,,,,,0.0,1.3748882773598345,1.0,impact,hit,17 wkts | 8.24 econ | 16.2 bsr
Lucknow Super Giants,Aiden Markram  ,,"2,00,00,000 ",2025.0,IPL_Auction_2025_Sold_Player.csv,20000000.0,2.0,aiden markram,batter,1,0,0,81.0,,Overseas,"2,00,00,000 ",Capped,ak markram,0.93,2024.0,ak markram,11.0,11.0,220.0,177.0,96.0,18.0,4.0,9.0,49.0,124.29378531073448,24.444444444444443,12.429378531073446,27.68361581920904,20.0,16.0,102.0,0.0,59.0,31.0,122.0,0.0,67.0,113.55932203389833,119.6078431372549,193.75,2.0,2.0,13.0,12.0,15.0,0.0,4.0,,7.5,33.33333333333333,0.0,12.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,3.0,943.5,3.0,131.8989898989899,9.61904761904762,3.0,2325.0,6.0,31.0,2325.0,6.0,31.0,128.37587322905884,8.303109371602522,1143.0,3.0,138.54545454545456,5.671232876712329,2.0,3.0,0.0,0.0,0.8170465807730427,0.4706144697720515,16.811242881518265,ak markram,15000000.0,35118131.86813187,6391500000.0,182,1.5,1.286936506612287,1,20000000.0,38508771.92982456,0,0,0,0,0,0,0,0,0,0.0,0,26000000.0,1,3.0,26000000.0,26000000.0,0,18.45831158922332,103834784.10996266,17.25979531101437,31320872.274143305,gradient_boosting,10.383478410996268,3.1320872274143303,68794302.82606404,-35040481.28389862,6.879430282606403,2.0,83834784.10996266,4.191739205498133,strongly_undervalued,48794302.82606404,2.4397151413032017,strongly_undervalued,11320872.274143305,0.5660436137071653,ak markram,13.0,Aiden Markram,all_rounder,13.0,445.0,148.82943143812707,34.23076923076923,4.0,9.272727272727272,16.5,0.7730984827632875,,,,,0.0,0.7730984827632875,1.0,impact,hit,445 runs | 148.8 SR | 4 wkts | 9.27 econ
