team,player_name,role,price,auction_year,source_file,price_in_inr,price_in_crore,player_name_clean,role_bucket,is_overseas,is_wicketkeeper,is_allrounder,unnamed_0,price_in,nationality,base_price,capped_uncapped,matched_player_name_clean,match_confidence,performance_season,player_name_clean_perf,matches_played,innings_batted,runs_scored,balls_faced,boundary_runs,fours,sixes,dismissals,dot_balls_batting,batting_strike_rate,batting_average,boundary_ball_pct,dot_ball_pct_batting,runs_per_innings,phase_balls_death,phase_balls_middle,phase_balls_other,phase_balls_powerplay,phase_runs_death,phase_runs_middle,phase_runs_other,phase_runs_powerplay,powerplay_strike_rate,middle_strike_rate,death_strike_rate,matches_played_bowl,innings_bowled,balls_bowled,legal_balls_bowled,runs_conceded,wickets,dot_balls_bowling,bowling_strike_rate,economy_rate,dot_ball_pct_bowling,phase_balls_death_bowl,phase_balls_middle_bowl,phase_balls_other_bowl,phase_balls_powerplay_bowl,phase_runs_death_bowl,phase_runs_middle_bowl,phase_runs_other_bowl,phase_runs_powerplay_bowl,phase_wickets_death,phase_wickets_middle,phase_wickets_other,phase_wickets_powerplay,powerplay_wickets,powerplay_economy,death_wickets,death_economy,experience_proxy,recent_runs_scored,recent_wickets,recent_batting_strike_rate,recent_economy_rate,prior_seasons_played,career_runs_before_auction,career_wickets_before_auction,career_matches_before_auction,three_year_runs_before_auction,three_year_wickets_before_auction,three_year_matches_before_auction,three_year_batting_sr_before_auction,three_year_economy_before_auction,career_best_runs_season_before_auction,career_best_wickets_season_before_auction,career_best_sr_season_before_auction,career_best_economy_season_before_auction,prior_500_run_seasons,prior_400_run_seasons,prior_20_wicket_seasons,prior_15_wicket_seasons,pedigree_batter_index,pedigree_bowler_index,target_log_price,player_name_clean_model,year_median_price_in_inr,year_mean_price_in_inr,year_total_spend_in_inr,year_players_sold,inflation_index,spend_index,is_mega_auction_proxy,role_year_median_price_in_inr,role_year_mean_price_in_inr,leadership_proxy,captaincy_proxy,title_winning_captain_proxy,indian_batter_premium_proxy,sena_overseas_premium_proxy,wicketkeeper_scarcity_proxy,death_bowler_premium_proxy,control_bowler_premium_proxy,left_arm_bowler_proxy,premium_bowler_quality_index,elite_indian_pacer_scarcity_proxy,previous_auction_price_in_inr,prior_auction_count,years_since_last_auction,career_peak_auction_price_in_inr,auction_history_mean_price_in_inr,marquee_player_proxy,predicted_log_price,predicted_price_in_inr,intrinsic_predicted_log_price,intrinsic_predicted_price_in_inr,selected_model,predicted_price_in_crore,intrinsic_predicted_price_in_crore,article_fair_price_in_inr,article_market_premium_in_inr,article_fair_price_in_crore,actual_price_in_crore,mispricing_in_inr,mispricing_pct,mispricing_label,article_mispricing_in_inr,article_mispricing_pct,article_mispricing_label,intrinsic_mispricing_in_inr,intrinsic_mispricing_pct
Kolkata Knight Riders,Venkatesh Iyer,,"23,75,00,000 ",2025.0,IPL_Auction_2025_Sold_Player.csv,237500000.0,23.75,venkatesh iyer,batter,0,0,0,59.0,,Indian,"2,00,00,000 ",Capped,venkatesh iyer,1.0,2024.0,venkatesh iyer,13.0,13.0,370.0,233.0,254.0,35.0,19.0,8.0,84.0,158.79828326180257,46.25,23.17596566523605,36.05150214592275,28.46153846153846,34.0,131.0,1.0,67.0,56.0,182.0,4.0,128.0,191.04477611940297,138.93129770992368,164.70588235294116,1.0,1.0,6.0,6.0,28.0,0.0,0.0,,28.0,0.0,0.0,6.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,3.0,879.0,0.0,125.1878707060605,11.499999999999998,3.0,2868.0,,36.0,2868.0,9.0,36.0,125.74429475642127,9.73076923076923,1212.0,,143.94299287410925,,3.0,3.0,0.0,0.0,0.8364304592005286,0.32592500825900234,19.285678185649495,venkatesh iyer,15000000.0,35118131.86813187,6391500000.0,182,1.5,1.286936506612287,1,20000000.0,38508771.92982456,0,0,0,1,0,0,0,0,0,0.0,0,2000000.0,1,4.0,2000000.0,2000000.0,0,17.323773102931632,33390202.379503224,18.07489424996259,70766355.14018692,gradient_boosting,3.339020237950322,7.076635514018692,29534353.139609825,-41232002.00057709,2.9534353139609824,23.75,-204109797.62049678,-0.8594096741915654,strongly_overvalued,-207965646.8603902,-0.8756448288858534,strongly_overvalued,-166733644.8598131,-0.7020363994097394
Lucknow Super Giants,Rishabh Pant,,"27,00,00,000 ",2025.0,IPL_Auction_2025_Sold_Player.csv,270000000.0,27.0,rishabh pant,wicketkeeper,0,1,0,74.0,,Indian,"2,00,00,000 ",Capped,rishabh pant,1.0,2024.0,rishabh pant,13.0,13.0,446.0,287.0,294.0,36.0,25.0,11.0,90.0,155.4006968641115,40.54545454545455,21.254355400696863,31.3588850174216,34.30769230769231,38.0,217.0,0.0,32.0,92.0,306.0,0.0,48.0,150.0,141.01382488479263,242.10526315789474,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1146.0,,138.1898293389626,,7.0,8553.0,,97.0,3327.0,,43.0,129.42385018993903,,2052.0,,171.0,,7.0,7.0,0.0,0.0,0.917368681863231,0.3229930624380575,19.413932520666354,rishabh pant,15000000.0,35118131.86813187,6391500000.0,182,1.5,1.286936506612287,1,112500000.0,120857142.85714285,1,1,0,1,0,1,0,0,0,0.0,0,,0,,,,1,18.24857573341555,84189075.11257169,18.10976088089204,73277258.56697819,gradient_boosting,8.418907511257169,7.3277258566978185,159750000.0,75560924.88742831,15.975,27.0,-185810924.8874283,-0.6881886106941789,strongly_overvalued,-110250000.0,-0.4083333333333333,strongly_overvalued,-196722741.4330218,-0.7286027460482289
Punjab Kings,Shreyas Iyer,,"26,75,00,000 ",2025.0,IPL_Auction_2025_Sold_Player.csv,267500000.0,26.75,shreyas iyer,batter,0,0,0,111.0,,Indian,"2,00,00,000 ",Capped,shreyas iyer,1.0,2024.0,shreyas iyer,14.0,14.0,351.0,239.0,220.0,34.0,14.0,9.0,74.0,146.86192468619245,39.0,20.0836820083682,30.962343096234306,25.071428571428573,36.0,168.0,0.0,35.0,84.0,239.0,0.0,28.0,80.0,142.26190476190476,233.33333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,864.0,0.0,116.58193306573133,7.0,8.0,8340.0,0.0,100.0,3285.0,0.0,39.0,118.42717106342873,7.0,1557.0,0.0,137.9591836734694,7.0,7.0,7.0,0.0,0.0,0.8831598942847705,0.409217046580773,19.404630128038654,shreyas iyer,15000000.0,35118131.86813187,6391500000.0,182,1.5,1.286936506612287,1,20000000.0,38508771.92982456,1,1,1,1,0,0,0,0,0,0.0,0,122500000.0,1,3.0,122500000.0,122500000.0,1,18.402718210899046,98219782.16227055,18.04821648498263,68903426.79127726,gradient_boosting,9.821978216227055,6.890342679127726,177625000.0,79405217.83772945,17.7625,26.75,-169280217.83772945,-0.6328232442531943,strongly_overvalued,-89875000.0,-0.33598130841121493,strongly_overvalued,-198596573.20872274,-0.7424170961073747
Punjab Kings,Yuzvendra Chahal,,"18,00,00,000 ",2025.0,IPL_Auction_2025_Sold_Player.csv,180000000.0,18.0,yuzvendra chahal,bowler,0,0,0,112.0,,Indian,"2,00,00,000 ",Capped,ys chahal,0.93,2024.0,ys chahal,15.0,,,,,,,,,,,,,,,,,,,,,,,,,15.0,15.0,362.0,348.0,546.0,18.0,98.0,19.333333333333332,9.413793103448276,28.160919540229884,36.0,288.0,0.0,24.0,69.0,450.0,0.0,27.0,2.0,15.0,0.0,1.0,1.0,6.75,2.0,11.5,11.0,15.0,72.0,62.5,7.859638554216867,11.0,,561.0,144.0,45.0,198.0,46.0,49.76851851851852,7.579696470972524,,81.0,,6.996978851963746,0.0,0.0,10.0,10.0,0.23540634291377605,0.9645441030723488,19.00846741441004,ys chahal,15000000.0,35118131.86813187,6391500000.0,182,1.5,1.286936506612287,1,80000000.0,74037037.03703703,1,0,0,0,0,0,1,0,0,0.8041037958477545,0,65000000.0,2,3.0,65000000.0,62500000.0,0,17.58540806579638,43375617.94680146,18.055244807198726,69389408.09968847,gradient_boosting,4.337561794680146,6.938940809968847,105600000.0,36210591.90031153,10.56,18.0,-136624382.05319855,-0.7590243447399919,strongly_overvalued,-74400000.0,-0.41333333333333333,strongly_overvalued,-110610591.90031153,-0.6145032883350641
Lucknow Super Giants,Akash Deep,,"8,00,00,000 ",2025.0,IPL_Auction_2025_Sold_Player.csv,80000000.0,8.0,akash deep,batter,0,0,0,76.0,,Indian,"1,00,00,000 ",Capped,akash deep,1.0,2024.0,akash deep,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,100.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,100.0,1.0,1.0,23.0,21.0,55.0,1.0,6.0,21.0,15.714285714285714,28.57142857142857,0.0,15.0,0.0,6.0,0.0,46.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,,2.0,25.5,9.0,106.25,11.05750350631136,2.0,51.0,18.0,7.0,51.0,18.0,7.0,106.25,11.05750350631136,51.0,15.0,212.5,10.695652173913043,0.0,0.0,0.0,1.0,0.38529897588371326,0.4827386851668319,18.197537205138154,akash deep,15000000.0,35118131.86813187,6391500000.0,182,1.5,1.286936506612287,1,20000000.0,38508771.92982456,0,0,0,1,0,0,0,0,0,0.0,0,2000000.0,1,3.0,2000000.0,2000000.0,0,15.415877691353112,4954850.181816964,15.33980472535828,4591900.311526479,gradient_boosting,0.49548501818169643,0.4591900311526479,8292746.954544922,3337896.772727958,0.8292746954544923,8.0,-75045149.81818303,-0.9380643727272879,strongly_overvalued,-71707253.04545508,-0.8963406630681885,strongly_overvalued,-75408099.68847352,-0.942601246105919
