player_name,team,actual_price_in_crore,fair_price_in_crore,matches_played_2025,realized_statline,article_rating
Rishabh Pant,Lucknow Super Giants,27.0,15.98,13.0,269 runs | 133.2 SR,flop
Shreyas Iyer,Punjab Kings,26.75,17.76,17.0,604 runs | 175.1 SR,hit
Yuzvendra Chahal,Punjab Kings,18.0,10.56,13.0,16 wkts | 9.56 econ | 16.9 bsr,mid
Jos  Buttler,Gujarat Titans,15.75,9.5,13.0,538 runs | 163.0 SR,mid
Arshdeep Singh,Punjab Kings,18.0,12.48,16.0,21 wkts | 8.88 econ | 16.7 bsr,hit
