role_bucket,players,average_mispricing_inr,median_mispricing_inr
batter,188,-6071211.247040108,891779.2192723213
all_rounder,260,-8744379.043151656,855663.1789863289
bowler,278,-9997400.105318042,-17816.042644144036
unknown,154,-10032671.185883204,267331.9408808956
wicketkeeper,83,-12252162.008326245,-160427.9863210991
