model,mae_log,rmse_log,r2_log
gradient_boosting,0.6825399127619658,0.9302369858785965,0.49568857346056205
random_forest,0.712996805957128,0.9645445706934533,0.45780413127939534
two_stage_market,0.9068970177212967,1.1320300133380918,0.25316014604596304
linear_regression,1.3589181051287864,1.740935268873246,-0.7663503539699033
scorecard,1.5017636050179928,1.8037906223216988,-0.896198733117521
