match_season,player_name_clean,matches_played,innings_batted,runs_scored,balls_faced,boundary_runs,fours,sixes,dismissals,dot_balls_batting,batting_strike_rate,batting_average,boundary_ball_pct,dot_ball_pct_batting,runs_per_innings,phase_balls_death,phase_balls_middle,phase_balls_other,phase_balls_powerplay,phase_runs_death,phase_runs_middle,phase_runs_other,phase_runs_powerplay,powerplay_strike_rate,middle_strike_rate,death_strike_rate,matches_played_bowl,innings_bowled,balls_bowled,legal_balls_bowled,runs_conceded,wickets,dot_balls_bowling,bowling_strike_rate,economy_rate,dot_ball_pct_bowling,phase_balls_death_bowl,phase_balls_middle_bowl,phase_balls_other_bowl,phase_balls_powerplay_bowl,phase_runs_death_bowl,phase_runs_middle_bowl,phase_runs_other_bowl,phase_runs_powerplay_bowl,phase_wickets_death,phase_wickets_middle,phase_wickets_other,phase_wickets_powerplay,powerplay_wickets,powerplay_economy,death_wickets,death_economy,experience_proxy,recent_runs_scored,recent_wickets,recent_batting_strike_rate,recent_economy_rate,prior_seasons_played,career_runs_before_auction,career_wickets_before_auction,career_matches_before_auction,three_year_runs_before_auction,three_year_wickets_before_auction,three_year_matches_before_auction,three_year_batting_sr_before_auction,three_year_economy_before_auction,career_best_runs_season_before_auction,career_best_wickets_season_before_auction,career_best_sr_season_before_auction,career_best_economy_season_before_auction,prior_500_run_seasons,prior_400_run_seasons,prior_20_wicket_seasons,prior_15_wicket_seasons,pedigree_batter_index,pedigree_bowler_index
2007.0,a chopra,5.0,5.0,126.0,159.0,60.0,15.0,0.0,12.0,84.0,79.24528301886792,10.5,9.433962264150944,52.83018867924528,25.2,0.0,32.0,71.0,56.0,0.0,36.0,46.0,44.0,78.57142857142857,112.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,0,0,0,0,0.2571522960026429,0.3229930624380575
2009.0,a chopra,1.0,1.0,33.0,58.0,24.0,6.0,0.0,3.0,43.0,56.896551724137936,11.0,10.344827586206897,74.13793103448276,33.0,0.0,24.0,20.0,14.0,0.0,12.0,11.0,10.0,71.42857142857143,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,126.0,,79.24528301886792,,1,126.0,,5.0,126.0,,5.0,79.24528301886792,,126.0,,79.24528301886792,,0,0,0,0,0.4135199867855963,0.3229930624380575
2017.0,a choudhary,5.0,3.0,75.0,60.0,30.0,3.0,3.0,3.0,12.0,125.0,25.0,10.0,20.0,25.0,38.0,2.0,20.0,0.0,48.0,2.0,25.0,0.0,,100.0,126.3157894736842,5.0,5.0,324.0,310.0,432.0,15.0,126.0,20.666666666666668,8.361290322580645,40.64516129032258,48.0,58.0,144.0,60.0,80.0,112.0,188.0,52.0,2.0,0.0,9.0,4.0,4.0,5.2,2.0,10.0,0,,,,,0,,,,,,,,,,,,,0,0,0,0,0.2571522960026429,0.3229930624380575
2018.0,a dananjaya,1.0,1.0,12.0,15.0,0.0,0.0,0.0,0.0,6.0,80.0,,0.0,40.0,12.0,10.0,0.0,5.0,0.0,8.0,0.0,4.0,0.0,,,80.0,1.0,1.0,75.0,73.0,141.0,0.0,18.0,,11.589041095890412,24.65753424657534,0.0,36.0,25.0,12.0,0.0,70.0,47.0,24.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,,0,,,,,0,,,,,,,,,,,,,0,0,0,0,0.2571522960026429,0.3229930624380575
2009.0,a flintoff,3.0,3.0,186.0,163.0,96.0,15.0,6.0,6.0,64.0,114.11042944785277,31.0,12.883435582822086,39.263803680981596,62.0,26.0,52.0,57.0,28.0,44.0,50.0,62.0,30.0,107.14285714285714,96.15384615384616,169.23076923076923,3.0,3.0,198.0,198.0,315.0,6.0,60.0,33.0,9.545454545454545,30.303030303030305,36.0,60.0,66.0,36.0,104.0,60.0,105.0,46.0,2.0,0.0,2.0,2.0,2.0,7.666666666666667,2.0,17.333333333333332,0,,,,,0,,,,,,,,,,,,,0,0,0,0,0.2571522960026429,0.3229930624380575
2024.0,a kamboj,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,100.0,,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,,100.0,,3.0,3.0,68.0,60.0,114.0,2.0,19.0,30.0,11.4,31.666666666666664,0.0,24.0,0.0,36.0,0.0,44.0,0.0,70.0,0.0,1.0,0.0,1.0,1.0,11.666666666666666,0.0,,0,,,,,0,,,,,,,,,,,,,0,0,0,0,0.2571522960026429,0.3229930624380575
2025.0,a kamboj,8.0,5.0,14.0,12.0,8.0,2.0,0.0,2.0,6.0,116.66666666666667,7.0,16.666666666666664,50.0,2.8,12.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,,,116.66666666666667,8.0,8.0,130.0,129.0,172.0,8.0,55.0,16.125,8.0,42.63565891472868,3.0,0.0,0.0,126.0,3.0,0.0,0.0,169.0,1.0,0.0,0.0,7.0,7.0,8.047619047619047,1.0,6.0,1,2.0,2.0,100.0,11.4,1,2.0,2.0,3.0,2.0,2.0,3.0,100.0,11.4,2.0,2.0,100.0,11.4,0,0,0,0,0.3084985133795837,0.403410967955071
2007.0,a kumble,10.0,4.0,39.0,51.0,12.0,3.0,0.0,3.0,24.0,76.47058823529412,13.0,5.88235294117647,47.05882352941176,9.75,28.0,6.0,17.0,0.0,16.0,10.0,13.0,0.0,,166.66666666666669,57.14285714285714,10.0,10.0,708.0,696.0,912.0,21.0,255.0,33.142857142857146,7.862068965517241,36.637931034482754,28.0,336.0,260.0,72.0,80.0,436.0,336.0,60.0,0.0,14.0,7.0,0.0,0.0,5.0,0.0,17.142857142857142,0,,,,,0,,,,,,,,,,,,,0,0,0,0,0.2571522960026429,0.3229930624380575
2009.0,a kumble,32.0,11.0,66.0,92.0,24.0,6.0,0.0,3.0,44.0,71.73913043478261,22.0,6.521739130434782,47.82608695652174,6.0,50.0,10.0,32.0,0.0,42.0,2.0,22.0,0.0,,20.0,84.0,32.0,32.0,2241.0,2217.0,2262.0,114.0,867.0,19.44736842105263,6.121786197564276,39.106901217861974,184.0,962.0,819.0,252.0,208.0,1018.0,798.0,238.0,28.0,38.0,42.0,6.0,6.0,5.666666666666667,28.0,6.782608695652174,1,39.0,21.0,76.47058823529412,7.862068965517241,1,39.0,21.0,10.0,39.0,21.0,10.0,76.47058823529412,7.862068965517241,39.0,21.0,76.47058823529412,7.862068965517241,0,0,1,1,0.34605219689461514,0.7045176742649487
2022.0,a manohar,7.0,7.0,324.0,229.0,222.0,42.0,9.0,18.0,82.0,141.48471615720524,18.0,22.270742358078603,35.80786026200873,46.285714285714285,46.0,76.0,79.0,28.0,74.0,116.0,108.0,26.0,92.85714285714286,152.63157894736844,160.8695652173913,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,0,0,0,0,0.2571522960026429,0.3229930624380575
